Wall time,Step,Value
1557048306.8530004,6000,-91.01969146728516
1557048307.3540003,7000,-59.83378982543945
1557048309.9610004,11000,28.574119567871094
1557048310.7270005,12000,-111.44220733642578
1557048311.9410005,14000,-27.282251358032227
1557048312.4330006,15000,128.0537567138672
1557048313.2100003,16000,-193.91998291015625
1557048314.4530005,18000,-67.55780792236328
1557048314.9520006,19000,42.45185470581055
1557048315.6890004,20000,89.8875503540039
1557048316.1950006,21000,152.41815185546875
1557048318.7950006,25000,242.30357360839844
1557048324.5390005,34000,131.51187133789062
1557048325.0310006,35000,-312.89727783203125
1557048326.3000004,37000,165.93115234375
1557048328.2930005,40000,196.99693298339844
1557048328.7530005,41000,302.5454406738281
1557048329.9560006,43000,268.8606872558594
1557048331.2360005,45000,369.5631103515625
1557048331.9660003,46000,338.5799255371094
1557048333.1850004,48000,331.49835205078125
1557048334.4880004,50000,271.5364685058594
1557048334.9780004,51000,410.63275146484375
1557048337.0540004,54000,467.91552734375
1557048337.5930004,55000,308.41546630859375
1557048338.3130004,56000,379.3569641113281
1557048338.8260005,57000,-371.2999572753906
1557048339.5840006,58000,459.1439208984375
1557048341.2930005,61000,144.56553649902344
1557048342.1510005,62000,385.1048583984375
1557048343.4220004,64000,432.3948059082031
1557048344.7840004,66000,396.867431640625
1557048345.3010004,67000,439.7461242675781
1557048346.0760005,68000,336.0596618652344
1557048346.6340003,69000,-194.9027862548828
1557048348.7340004,72000,398.31500244140625
1557048349.2150006,73000,94.6698989868164
1557048349.9800005,74000,337.7667541503906
1557048350.4470005,75000,271.9742736816406
1557048351.7200005,77000,265.5050964355469
1557048353.7970004,80000,-207.885986328125
1557048356.8710005,85000,314.2635803222656
1557048357.6260004,86000,44.03492736816406
1557048358.1480005,87000,-308.3855895996094
1557048358.9390006,88000,433.9050598144531
1557048359.4360006,89000,119.66081237792969
1557048360.3430007,90000,465.2438049316406
1557048363.7240005,95000,-176.73297119140625
1557048369.2960005,103000,-154.645751953125
1557048371.6150005,106000,18.840850830078125
1557048372.2100003,107000,686.8635864257812
1557048377.4840004,114000,625.6590576171875
1557048379.4380004,117000,647.7738647460938
1557048380.7560005,119000,611.2042846679688
1557048381.4810004,120000,690.4674072265625
1557048381.9320004,121000,621.819580078125
1557048384.4740005,125000,-132.30474853515625
1557048385.3010004,126000,571.296142578125
1557048385.8070006,127000,453.5670166015625
1557048387.9390006,130000,666.892333984375
1557048388.4700003,131000,759.1007690429688
1557048390.6450005,134000,-217.16867065429688
1557048393.3670006,138000,-21.605295181274414
1557048394.7380004,140000,717.7586669921875
1557048396.1500003,142000,22.53665542602539
1557048396.7370005,143000,460.65496826171875
1557048397.5680006,144000,-369.11016845703125
1557048398.1270006,145000,-218.7945556640625
1557048400.9800005,149000,-340.1578674316406
1557048402.3400006,151000,444.2075500488281
1557048404.5070007,154000,-0.2785160541534424
1557048405.0810006,155000,96.74042510986328
1557048405.8620005,156000,518.7125854492188
1557048407.1200006,158000,-106.30059051513672
1557048407.6690004,159000,418.1547546386719
1557048408.4290004,160000,-318.1605224609375
1557048410.2280004,163000,162.48733520507812
1557048411.5320005,165000,-176.47384643554688
1557048412.4310005,166000,110.66291809082031
1557048413.7380004,168000,687.5550537109375
1557048414.2150006,169000,3.561039447784424
1557048416.1690004,172000,707.9091796875
1557048419.1590006,177000,399.2497253417969
1557048419.9120004,178000,599.6127319335938
1557048420.3670006,179000,794.1878051757812
1557048421.6540003,181000,481.1741027832031
1557048422.4100003,182000,485.19873046875
1557048423.6900003,184000,-304.6252136230469
1557048424.9770005,186000,524.0108642578125
1557048425.4520006,187000,78.88890838623047
1557048426.1980004,188000,-96.33793640136719
1557048426.6850004,189000,-88.16581726074219
1557048427.9430006,191000,232.02651977539062
1557048428.6860003,192000,-265.31890869140625
1557048432.9170005,199000,265.5150451660156
1557048435.3410006,203000,548.4808959960938
1557048437.8460004,207000,-256.0982360839844
1557048438.6550007,208000,371.36297607421875
1557048439.1780005,209000,578.330322265625
1557048441.6670005,213000,578.4354248046875
1557048443.7910006,216000,-76.54361724853516
1557048445.8120005,219000,639.3150024414062
1557048446.5610003,220000,357.6820068359375
1557048448.2730005,223000,219.7311248779297
1557048449.0650005,224000,-119.39417266845703
1557048450.3770003,226000,607.770751953125
1557048450.8590007,227000,389.9542541503906
1557048451.6390007,228000,600.8814697265625
1557048452.8690004,230000,571.06005859375
1557048453.4020004,231000,-100.77519989013672
1557048454.6230006,233000,654.2130737304688
1557048455.3960006,234000,873.6386108398438
1557048455.8660004,235000,355.4013366699219
1557048457.9100003,238000,694.1317138671875
1557048459.6980004,241000,-100.87071990966797
1557048463.2360005,246000,185.72824096679688
1557048464.7080004,248000,535.3294067382812
1557048465.9920006,250000,-73.05333709716797
1557048466.5290005,251000,682.3861694335938
1557048469.7800004,256000,-177.9911346435547
1557048471.6830006,259000,647.0155029296875
1557048472.4260004,260000,38.822227478027344
1557048472.9420004,261000,835.6235961914062
1557048473.7320006,262000,531.564697265625
1557048474.9610004,264000,569.5093994140625
1557048477.4640005,268000,108.58795928955078
1557048478.7230005,270000,-126.39730834960938
1557048479.9530005,272000,644.5488891601562
1557048481.2200005,274000,439.64599609375
1557048484.1670005,279000,753.4534912109375
1557048485.3910005,281000,759.5504150390625
1557048487.8640006,285000,4.360134124755859
1557048490.9890006,290000,585.7913208007812
1557048492.2330005,292000,706.7959594726562
